num_client;actif;date_inscription;A_ete_parraine;Genre;date_naissance;inscrit_NL;age_client;an_mois_inscription;client_sans_commande
ID_103843;1;26/03/2016;OUI;Femme;23/12/1979;1;45;2016_03;0
ID_103884;1;26/03/2016;OUI;Femme;24/11/1953;1;71;2016_03;0
ID_103930;1;26/03/2016;OUI;Femme;29/09/1957;1;67;2016_03;0
ID_103965;1;26/03/2016;OUI;Femme;02/06/1949;1;75;2016_03;0
ID_104100;1;26/03/2016;OUI;Homme;09/07/1968;1;56;2016_03;0
ID_104163;1;26/03/2016;OUI;Femme;10/07/1952;1;72;2016_03;0
ID_104308;1;26/03/2016;OUI;Femme;03/06/1966;1;58;2016_03;0
ID_104321;1;26/03/2016;OUI;Femme;09/07/1949;1;75;2016_03;0
ID_104339;1;26/03/2016;OUI;Femme;28/02/1968;1;56;2016_03;0
ID_104435;1;26/03/2016;OUI;Homme;11/06/1972;1;52;2016_03;0
ID_104465;1;26/03/2016;OUI;Femme;09/04/1974;1;50;2016_03;0
ID_104487;1;26/03/2016;OUI;Femme;03/10/1976;0;48;2016_03;0
ID_104491;1;26/03/2016;NON;Homme;08/04/1968;1;56;2016_03;0
ID_104537;1;26/03/2016;OUI;Homme;08/02/1967;1;57;2016_03;0
ID_104583;1;26/03/2016;OUI;Femme;09/09/2009;0;15;2016_03;1
ID_104692;1;26/03/2016;OUI;Femme;10/04/1969;0;55;2016_03;1
ID_104811;1;26/03/2016;OUI;Femme;15/06/1950;1;74;2016_03;0
ID_104837;1;26/03/2016;OUI;Femme;08/09/1965;1;59;2016_03;0
ID_104857;1;26/03/2016;OUI;Femme;21/10/1958;1;66;2016_03;0
ID_104878;1;26/03/2016;OUI;Femme;14/07/1977;1;47;2016_03;0
ID_104892;1;26/03/2016;OUI;Femme;27/07/1972;1;52;2016_03;0
ID_104897;1;26/03/2016;OUI;Femme;24/04/1952;0;72;2016_03;0
ID_104910;1;26/03/2016;;Femme;31/12/2000;0;24;2016_03;0
ID_104938;1;26/03/2016;OUI;Homme;19/01/1982;1;42;2016_03;0
ID_105074;1;26/03/2016;OUI;Femme;01/01/1971;1;53;2016_03;0
ID_105103;1;26/03/2016;NON;Femme;20/01/1965;1;59;2016_03;0
ID_105286;1;26/03/2016;OUI;Homme;28/07/1941;1;83;2016_03;0
ID_105304;1;26/03/2016;OUI;Femme;02/07/1954;0;70;2016_03;0
ID_105365;1;26/03/2016;OUI;Femme;09/06/1963;0;61;2016_03;1
ID_105430;1;26/03/2016;OUI;Femme;14/05/1958;1;66;2016_03;0
ID_105431;1;26/03/2016;OUI;Femme;06/11/1959;1;65;2016_03;0
ID_105562;1;26/03/2016;OUI;Homme;15/06/1957;1;67;2016_03;0
ID_105607;1;27/03/2016;OUI;Femme;24/02/1952;1;72;2016_03;0
ID_105622;1;27/03/2016;OUI;Femme;26/08/1954;1;70;2016_03;1
ID_105658;1;27/03/2016;NON;Femme;22/12/1957;1;67;2016_03;0
ID_105700;1;27/03/2016;OUI;Femme;05/08/1969;1;55;2016_03;1
ID_105825;1;27/03/2016;OUI;Homme;12/08/1969;1;55;2016_03;1
ID_105917;1;27/03/2016;OUI;Femme;11/03/1950;1;74;2016_03;1
ID_105945;1;27/03/2016;OUI;Homme;09/04/1947;1;77;2016_03;0
ID_106;1;21/02/2013;NON;Homme;27/10/2008;1;16;2013_02;0
ID_106207;1;28/03/2016;OUI;Femme;24/11/1965;1;59;2016_03;0
ID_106365;1;29/03/2016;OUI;Femme;01/01/1971;1;53;2016_03;0
ID_106509;1;31/03/2016;NON;Femme;01/01/1971;1;53;2016_03;0
ID_106597;1;31/03/2016;OUI;Homme;13/09/1952;0;72;2016_03;0
ID_106777;1;03/04/2016;OUI;Homme;21/11/1978;1;46;2016_04;0
ID_106925;1;06/04/2016;OUI;Homme;12/05/1980;1;44;2016_04;0
ID_106970;1;06/04/2016;;Femme;03/01/1975;0;49;2016_04;0
ID_106976;1;07/04/2016;NON;Femme;12/08/1971;1;53;2016_04;0
ID_106996;1;07/04/2016;OUI;Femme;08/12/1984;1;40;2016_04;0
ID_107126;1;10/04/2016;NON;Femme;01/11/1961;1;63;2016_04;1
ID_107257;1;12/04/2016;NON;Femme;19/10/1977;1;47;2016_04;0
ID_107278;1;12/04/2016;NON;Homme;09/09/2009;1;15;2016_04;0
ID_107372;1;14/04/2016;NON;Femme;11/06/1961;0;63;2016_04;0
ID_107401;1;14/04/2016;OUI;Femme;05/05/1948;1;76;2016_04;0
ID_107450;1;15/04/2016;NON;Femme;13/12/1959;1;65;2016_04;0
ID_107573;1;18/04/2016;NON;Femme;16/04/2009;1;15;2016_04;0
ID_107620;1;19/04/2016;NON;Homme;26/10/1988;1;36;2016_04;0
ID_107700;1;20/04/2016;OUI;Femme;16/11/1965;1;59;2016_04;0
ID_107749;1;21/04/2016;OUI;Femme;02/04/1953;1;71;2016_04;0
ID_107762;1;21/04/2016;NON;Homme;15/07/1968;1;56;2016_04;0
ID_107807;1;22/04/2016;NON;Femme;22/05/2008;1;16;2016_04;0
ID_107846;1;23/04/2016;NON;Femme;01/02/1961;1;63;2016_04;0
ID_107908;1;24/04/2016;NON;Femme;30/08/1967;1;57;2016_04;0
ID_107991;1;26/04/2016;NON;Femme;10/08/1974;1;50;2016_04;0
ID_107998;1;26/04/2016;NON;Femme;28/01/1972;1;52;2016_04;0
ID_108106;1;29/04/2016;NON;Femme;01/03/1975;1;49;2016_04;0
ID_108135;1;29/04/2016;OUI;Femme;24/01/1967;1;57;2016_04;1
ID_108143;1;29/04/2016;NON;Homme;08/08/1974;1;50;2016_04;1
ID_108242;0;01/05/2016;OUI;Femme;05/12/1975;0;49;2016_05;1
ID_108433;1;02/05/2016;NON;Femme;15/10/1955;0;69;2016_05;0
ID_109605;1;05/05/2016;OUI;Femme;09/04/1962;1;62;2016_05;0
ID_109694;1;05/05/2016;OUI;Femme;09/03/1954;1;70;2016_05;0
ID_109974;1;05/05/2016;OUI;Femme;07/02/1951;1;73;2016_05;0
ID_110305;1;06/05/2016;OUI;Femme;04/12/1975;1;49;2016_05;0
ID_110443;1;06/05/2016;NON;Femme;23/08/1946;0;78;2016_05;1
ID_111100;1;09/05/2016;NON;Femme;01/01/1971;1;53;2016_05;0
ID_111899;1;13/05/2016;NON;Femme;21/06/1970;1;54;2016_05;0
ID_111953;1;13/05/2016;OUI;Femme;16/12/1975;1;49;2016_05;1
ID_112185;1;14/05/2016;OUI;Femme;13/12/1982;1;42;2016_05;1
ID_112374;1;14/05/2016;OUI;Femme;25/10/1981;1;43;2016_05;0
ID_112721;1;14/05/2016;OUI;Femme;01/01/1971;1;53;2016_05;0
ID_113565;1;15/05/2016;?;Femme;03/02/1972;1;52;2016_05;0
ID_113938;1;15/05/2016;OUI;Femme;27/10/1953;1;71;2016_05;1
ID_114262;1;15/05/2016;OUI;Homme;05/01/1986;0;38;2016_05;0
ID_114482;1;15/05/2016;OUI;Femme;31/12/2008;0;16;2016_05;0
ID_114525;1;15/05/2016;NON;Femme;17/06/1967;1;57;2016_05;0
ID_114621;1;15/05/2016;OUI;Homme;02/12/1971;1;53;2016_05;0
ID_1150;1;13/03/2013;NON;Femme;12/07/1962;1;62;2013_03;1
ID_115373;1;16/05/2016;OUI;Homme;30/03/1982;1;42;2016_05;1
ID_115439;1;16/05/2016;NON;Femme;21/02/1974;1;50;2016_05;0
ID_116371;1;17/05/2016;OUI;Homme;09/09/2009;1;15;2016_05;0
ID_116670;1;18/05/2016;NON;Femme;16/10/1964;1;60;2016_05;0
ID_117323;1;19/05/2016;NON;Femme;10/03/1944;1;80;2016_05;1
ID_118562;1;23/05/2016;NON;Femme;02/05/1967;1;57;2016_05;0
ID_118595;1;23/05/2016;;Femme;20/02/1962;0;62;2016_05;1
ID_118926;1;23/05/2016;NON;Femme;17/02/1962;1;62;2016_05;0
ID_119056;1;24/05/2016;NON;Homme;03/03/1955;1;69;2016_05;0
ID_120953;1;27/05/2016;NON;Homme;02/06/1975;1;49;2016_05;0
ID_121265;1;28/05/2016;NON;Homme;07/08/1965;1;59;2016_05;1
ID_122129;1;31/05/2016;NON;Homme;24/11/1986;0;38;2016_05;0
ID_1227;1;13/03/2013;NON;Femme;21/04/1968;0;56;2013_03;0
ID_122953;1;03/06/2016;NON;Femme;13/08/1969;0;55;2016_06;0
ID_123067;1;04/06/2016;NON;Femme;19/12/1955;1;69;2016_06;0
ID_123198;1;04/06/2016;OUI;Femme;19/01/1978;1;46;2016_06;0
ID_123200;1;04/06/2016;OUI;Femme;21/05/1972;1;52;2016_06;0
ID_123256;1;04/06/2016;OUI;Femme;26/10/1977;1;47;2016_06;0
ID_123324;1;04/06/2016;OUI;Femme;18/12/1946;1;78;2016_06;1
ID_123669;1;05/06/2016;OUI;Femme;09/09/1971;1;53;2016_06;0
ID_123685;1;05/06/2016;OUI;Femme;07/03/1964;1;60;2016_06;1
ID_123742;1;05/06/2016;OUI;Femme;02/07/1970;1;54;2016_06;1
ID_123969;1;05/06/2016;OUI;Femme;18/12/1971;1;53;2016_06;0
ID_124419;1;06/06/2016;OUI;Femme;30/07/1971;1;53;2016_06;0
ID_124810;1;08/06/2016;NON;Femme;29/01/1950;1;74;2016_06;0
ID_1250;1;13/03/2013;OUI;Femme;18/11/1973;1;51;2013_03;0
ID_125026;1;09/06/2016;NON;Femme;22/06/1966;1;58;2016_06;0
ID_126290;1;11/06/2016;NON;Femme;24/01/1980;0;44;2016_06;0
ID_126938;1;14/06/2016;NON;Homme;18/07/1948;1;76;2016_06;0
ID_126949;1;14/06/2016;NON;Femme;26/09/1966;0;58;2016_06;0
ID_127181;1;16/06/2016;NON;Femme;01/01/1971;1;53;2016_06;1
ID_127248;1;16/06/2016;OUI;Homme;17/01/1973;1;51;2016_06;0
ID_127373;1;17/06/2016;NON;Femme;21/11/1971;1;53;2016_06;0
ID_127599;1;21/06/2016;NON;Femme;31/10/1954;0;70;2016_06;1
ID_127639;1;22/06/2016;NON;Femme;24/03/1973;1;51;2016_06;0
ID_127713;1;23/06/2016;NON;Femme;01/01/1971;1;53;2016_06;0
ID_127790;1;25/06/2016;NON;Femme;25/02/1966;1;58;2016_06;0
ID_127801;1;25/06/2016;NON;Homme;31/07/1964;1;60;2016_06;1
ID_127859;1;27/06/2016;NON;Femme;04/02/2009;1;15;2016_06;0
ID_127940;1;30/06/2016;NON;Femme;03/12/1947;1;77;2016_06;0
ID_128025;1;03/07/2016;NON;Homme;17/11/1981;1;43;2016_07;0
ID_128074;1;04/07/2016;OUI;Femme;30/03/1974;1;50;2016_07;0
ID_128144;1;07/07/2016;NON;Femme;31/12/2008;1;16;2016_07;0
ID_128357;1;08/07/2016;NON;Femme;23/03/1972;0;52;2016_07;0
ID_128505;1;08/07/2016;;Femme;13/10/1957;0;67;2016_07;0
ID_128525;1;08/07/2016;OUI;Femme;15/09/1952;1;72;2016_07;0
ID_128542;1;08/07/2016;OUI;Femme;02/10/1977;1;47;2016_07;0
ID_128545;1;09/07/2016;OUI;Femme;23/09/1956;1;68;2016_07;0
ID_128590;1;09/07/2016;OUI;Homme;23/09/1964;1;60;2016_07;0
ID_128700;1;11/07/2016;NON;Femme;24/11/1988;1;36;2016_07;0
ID_128730;1;12/07/2016;NON;Femme;03/03/1956;1;68;2016_07;0
ID_128758;1;13/07/2016;NON;Femme;21/01/1983;1;41;2016_07;0
ID_128823;1;15/07/2016;NON;Femme;16/01/1972;1;52;2016_07;0
ID_128858;1;16/07/2016;NON;Homme;10/09/1961;1;63;2016_07;0
ID_129081;1;24/07/2016;NON;Femme;29/03/1964;1;60;2016_07;0
ID_129373;1;29/07/2016;NON;Homme;01/01/1971;1;53;2016_07;0
ID_129379;1;29/07/2016;NON;Homme;04/12/1966;0;58;2016_07;1
ID_1351;1;13/03/2013;NON;Femme;08/10/1978;1;46;2013_03;0
ID_145135;1;01/08/2016;OUI;Femme;31/12/2008;1;16;2016_08;1
ID_145136;1;01/08/2016;OUI;Homme;26/11/1967;1;57;2016_08;0
ID_145163;0;01/08/2016;NON;Femme;01/03/1966;0;58;2016_08;0
ID_145265;1;06/08/2016;NON;Femme;02/10/1964;0;60;2016_08;0
ID_145458;1;13/08/2016;NON;Femme;27/12/1976;1;48;2016_08;1
ID_145468;1;14/08/2016;;Femme;03/02/1955;0;69;2016_08;0
ID_145619;1;20/08/2016;NON;Homme;04/11/1976;1;48;2016_08;0
ID_145654;1;21/08/2016;NON;Femme;31/12/2000;1;24;2016_08;0
ID_145672;1;21/08/2016;?;Femme;31/12/2000;1;24;2016_08;0
ID_145688;1;22/08/2016;NON;Femme;21/05/1972;1;52;2016_08;0
ID_145731;1;24/08/2016;OUI;Femme;09/06/1967;1;57;2016_08;0
ID_145773;1;25/08/2016;?;Femme;02/03/1979;1;45;2016_08;0
ID_145785;1;25/08/2016;NON;Femme;17/11/1974;1;50;2016_08;0
ID_145819;1;26/08/2016;NON;Femme;10/01/1975;1;49;2016_08;0
ID_145830;1;26/08/2016;NON;Femme;29/03/1984;0;40;2016_08;1
ID_145869;1;27/08/2016;NON;Femme;27/03/1949;1;75;2016_08;0
ID_146001;1;30/08/2016;NON;Homme;22/06/1967;1;57;2016_08;0
ID_146092;1;01/09/2016;NON;Femme;07/06/1975;0;49;2016_09;0
ID_146141;1;02/09/2016;NON;Homme;01/01/1971;0;53;2016_09;1
ID_146290;1;06/09/2016;NON;Femme;26/08/1984;0;40;2016_09;0
ID_146312;1;07/09/2016;NON;Homme;27/05/1973;1;51;2016_09;0
ID_146331;1;07/09/2016;NON;Femme;06/11/1968;1;56;2016_09;0
ID_146346;1;07/09/2016;NON;Femme;22/05/1969;0;55;2016_09;0
ID_146364;1;08/09/2016;NON;Homme;06/03/1949;0;75;2016_09;0
ID_146402;1;08/09/2016;NON;Homme;10/05/1964;1;60;2016_09;0
ID_146433;1;09/09/2016;OUI;Femme;07/12/1976;1;48;2016_09;1
ID_146482;1;09/09/2016;;Homme;29/01/1965;0;59;2016_09;0
ID_146529;1;10/09/2016;OUI;Homme;07/02/1962;1;62;2016_09;0
ID_146656;1;13/09/2016;NON;Femme;01/03/1958;1;66;2016_09;0
ID_146753;1;15/09/2016;NON;Femme;01/09/2009;1;15;2016_09;0
ID_146900;1;17/09/2016;OUI;Homme;11/02/1969;1;55;2016_09;1
ID_146905;1;17/09/2016;NON;Femme;15/01/1954;1;70;2016_09;0
ID_146911;1;17/09/2016;OUI;Homme;22/12/1965;1;59;2016_09;0
ID_146983;1;19/09/2016;NON;Homme;10/03/2009;1;15;2016_09;1
ID_146993;1;19/09/2016;NON;Femme;21/04/1954;1;70;2016_09;0
ID_147254;1;24/09/2016;NON;Femme;01/01/1972;1;52;2016_09;0
ID_147302;1;24/09/2016;NON;Femme;23/12/1977;0;47;2016_09;0
ID_147514;1;26/09/2016;NON;Femme;09/09/2009;1;15;2016_09;0
ID_147549;1;26/09/2016;NON;Femme;09/01/1970;1;54;2016_09;0
ID_147614;1;27/09/2016;NON;Femme;02/05/1969;1;55;2016_09;0
ID_147640;1;28/09/2016;NON;Homme;28/11/1966;1;58;2016_09;0
ID_147719;1;29/09/2016;NON;Femme;20/09/1970;1;54;2016_09;0
ID_147964;1;01/10/2016;NON;Femme;24/04/1947;1;77;2016_10;0
ID_148150;1;02/10/2016;NON;Femme;13/09/1948;1;76;2016_10;0
ID_148347;1;05/10/2016;NON;Homme;28/05/1970;1;54;2016_10;1
ID_148394;1;06/10/2016;NON;Femme;22/01/1968;1;56;2016_10;0
ID_148442;1;07/10/2016;OUI;Homme;20/03/1946;1;78;2016_10;0
ID_148450;1;07/10/2016;OUI;Femme;09/09/2009;1;15;2016_10;0
ID_148513;1;07/10/2016;OUI;Femme;07/11/1956;1;68;2016_10;0
ID_148529;1;07/10/2016;NON;Femme;01/04/1962;1;62;2016_10;1
ID_148583;1;07/10/2016;OUI;Femme;30/09/1968;1;56;2016_10;1
ID_148696;1;07/10/2016;OUI;Femme;13/05/1947;1;77;2016_10;0
ID_148818;1;07/10/2016;OUI;Homme;19/07/1975;1;49;2016_10;0
ID_148863;1;07/10/2016;OUI;Femme;26/11/1979;1;45;2016_10;1
ID_148889;1;07/10/2016;OUI;Femme;10/01/1973;1;51;2016_10;0
ID_148992;1;07/10/2016;OUI;Homme;11/05/1931;1;93;2016_10;0
ID_149003;1;07/10/2016;OUI;Homme;01/11/1968;1;56;2016_10;0
ID_149107;1;07/10/2016;NON;Femme;07/02/1955;0;69;2016_10;0
ID_149108;0;07/10/2016;OUI;Homme;05/02/1944;0;80;2016_10;1
ID_149177;1;07/10/2016;OUI;Femme;01/01/1971;1;53;2016_10;1
ID_149235;1;07/10/2016;OUI;Femme;04/03/1952;1;72;2016_10;0
ID_149365;1;08/10/2016;OUI;Femme;22/10/1953;1;71;2016_10;0
ID_149503;1;08/10/2016;OUI;Femme;14/02/1946;1;78;2016_10;0
ID_149524;1;08/10/2016;OUI;Homme;25/11/1982;1;42;2016_10;0
ID_149595;1;08/10/2016;OUI;Femme;12/05/1965;1;59;2016_10;1
ID_149626;1;08/10/2016;OUI;Femme;22/02/1960;1;64;2016_10;0
ID_149780;1;09/10/2016;NON;Femme;16/06/1982;1;42;2016_10;0
ID_149789;1;09/10/2016;OUI;Femme;25/05/1971;1;53;2016_10;0
ID_149833;1;09/10/2016;NON;Femme;24/04/1968;1;56;2016_10;0
ID_149927;1;09/10/2016;OUI;Femme;24/12/1954;1;70;2016_10;0
ID_150025;1;10/10/2016;OUI;Homme;31/12/2008;1;16;2016_10;0
ID_150032;1;10/10/2016;OUI;Homme;21/07/1965;0;59;2016_10;0
ID_150197;1;10/10/2016;OUI;Homme;02/11/1939;1;85;2016_10;0
ID_150260;1;10/10/2016;OUI;Femme;28/10/1953;0;71;2016_10;0
ID_150443;1;11/10/2016;NON;Femme;04/05/1963;1;61;2016_10;0
ID_150456;1;11/10/2016;OUI;Femme;23/09/1954;1;70;2016_10;0
ID_150547;1;11/10/2016;NON;Femme;02/11/1974;1;50;2016_10;0
ID_150632;1;12/10/2016;NON;Femme;30/03/1956;1;68;2016_10;0
ID_150762;1;13/10/2016;OUI;Homme;28/12/1934;1;90;2016_10;0
ID_150818;1;13/10/2016;OUI;Femme;01/05/1963;1;61;2016_10;0
ID_150935;1;13/10/2016;NON;Homme;20/06/1967;0;57;2016_10;1
ID_151045;1;14/10/2016;NON;Homme;31/08/1967;0;57;2016_10;0
ID_151106;1;14/10/2016;NON;Femme;01/03/1965;1;59;2016_10;1
ID_151114;1;14/10/2016;OUI;Femme;25/05/1973;1;51;2016_10;1
ID_151176;1;14/10/2016;NON;Femme;31/12/2000;1;24;2016_10;0
ID_151188;1;14/10/2016;OUI;Femme;12/07/1969;1;55;2016_10;0
ID_151204;1;15/10/2016;OUI;Femme;02/06/1964;1;60;2016_10;0
ID_151286;1;15/10/2016;NON;Femme;28/11/1975;1;49;2016_10;0
ID_151442;1;18/10/2016;NON;Femme;19/02/1971;1;53;2016_10;0
ID_151592;1;20/10/2016;NON;Femme;05/12/1973;1;51;2016_10;0
ID_151597;1;20/10/2016;NON;Homme;04/05/1956;0;68;2016_10;0
ID_151679;1;21/10/2016;OUI;Femme;18/01/1956;1;68;2016_10;1
ID_151803;1;22/10/2016;NON;Femme;24/03/1964;1;60;2016_10;1
ID_151973;1;24/10/2016;NON;Femme;24/03/1973;1;51;2016_10;1
ID_152014;1;24/10/2016;NON;Femme;04/03/1966;1;58;2016_10;0
ID_152041;1;25/10/2016;NON;Femme;31/07/1954;1;70;2016_10;0
ID_152069;1;25/10/2016;NON;Homme;03/02/1968;1;56;2016_10;0
ID_152222;1;28/10/2016;NON;Femme;10/04/1959;1;65;2016_10;0
ID_152258;1;28/10/2016;NON;Femme;20/11/1948;1;76;2016_10;0
ID_152326;1;29/10/2016;NON;Femme;05/04/1969;1;55;2016_10;0
ID_152401;1;30/10/2016;NON;Homme;21/11/1982;1;42;2016_10;1
ID_152477;1;31/10/2016;NON;Femme;30/09/1980;0;44;2016_10;0
ID_152557;1;01/11/2016;OUI;Femme;22/05/1964;1;60;2016_11;0
ID_152763;1;01/11/2016;OUI;Homme;22/08/1968;1;56;2016_11;1
ID_152822;1;01/11/2016;OUI;Femme;15/11/1945;1;79;2016_11;0
ID_152923;1;01/11/2016;OUI;Femme;14/10/1966;1;58;2016_11;0
ID_152953;1;01/11/2016;OUI;Femme;01/01/1971;1;53;2016_11;0
ID_153023;1;01/11/2016;OUI;Femme;27/03/1983;1;41;2016_11;0
ID_153120;1;01/11/2016;OUI;Femme;15/01/1957;1;67;2016_11;0
ID_153889;1;01/11/2016;OUI;Femme;12/07/1974;1;50;2016_11;0
ID_153953;1;01/11/2016;OUI;Femme;15/08/1972;1;52;2016_11;0
ID_153996;1;01/11/2016;OUI;Femme;26/03/1975;0;49;2016_11;0
ID_154044;1;01/11/2016;OUI;Femme;14/01/1969;1;55;2016_11;0
ID_154138;1;01/11/2016;OUI;Femme;13/03/1971;1;53;2016_11;0
ID_154164;1;01/11/2016;OUI;Femme;08/05/1976;1;48;2016_11;0
ID_154167;1;01/11/2016;OUI;Femme;17/03/1957;1;67;2016_11;0
ID_154181;1;01/11/2016;OUI;Femme;25/08/1961;1;63;2016_11;0
ID_154358;1;01/11/2016;OUI;Femme;06/08/1954;1;70;2016_11;0
ID_154473;1;01/11/2016;OUI;Femme;29/01/1974;1;50;2016_11;0
ID_154613;1;01/11/2016;OUI;Femme;27/04/1957;1;67;2016_11;0
ID_154667;1;01/11/2016;;Femme;06/09/1954;0;70;2016_11;1
ID_154744;1;01/11/2016;OUI;Femme;05/12/1968;1;56;2016_11;0
ID_154784;1;01/11/2016;OUI;Femme;11/03/1973;1;51;2016_11;0
ID_154963;1;01/11/2016;OUI;Femme;04/03/1978;1;46;2016_11;0
ID_155056;1;01/11/2016;OUI;Femme;26/11/1971;1;53;2016_11;0
ID_155312;1;01/11/2016;OUI;Homme;07/10/1987;1;37;2016_11;0
ID_155377;1;01/11/2016;OUI;Femme;10/12/1971;1;53;2016_11;0
ID_155500;1;01/11/2016;OUI;Femme;06/05/1955;1;69;2016_11;0
ID_155563;1;01/11/2016;OUI;Femme;15/05/1949;1;75;2016_11;0
ID_155574;1;01/11/2016;OUI;Femme;28/07/1968;1;56;2016_11;0
ID_155678;1;01/11/2016;OUI;Femme;16/03/1957;1;67;2016_11;0
ID_155708;1;01/11/2016;OUI;Femme;13/05/1958;1;66;2016_11;0
ID_155729;1;01/11/2016;OUI;Femme;30/11/1972;1;52;2016_11;0
ID_155844;1;01/11/2016;OUI;Femme;25/01/1960;1;64;2016_11;0
ID_156060;1;01/11/2016;OUI;Femme;09/04/1976;1;48;2016_11;0
ID_156112;1;02/11/2016;OUI;Femme;03/06/1983;1;41;2016_11;0
ID_156302;1;02/11/2016;OUI;Femme;21/08/1972;1;52;2016_11;1
ID_156432;1;02/11/2016;OUI;Femme;14/05/1967;0;57;2016_11;0
ID_156441;1;02/11/2016;NON;Femme;31/03/1970;1;54;2016_11;0
ID_156459;1;02/11/2016;OUI;Femme;07/11/1951;1;73;2016_11;0
ID_156549;1;02/11/2016;OUI;Femme;11/06/1961;0;63;2016_11;1
ID_156585;1;02/11/2016;OUI;Femme;01/07/1968;1;56;2016_11;0
ID_156615;1;02/11/2016;OUI;Femme;01/06/1960;0;64;2016_11;0
ID_156655;1;02/11/2016;OUI;Homme;06/02/1966;1;58;2016_11;0
ID_156700;1;02/11/2016;OUI;Femme;25/02/1971;0;53;2016_11;0
ID_156720;1;02/11/2016;OUI;Femme;31/12/2000;1;24;2016_11;0
ID_156830;1;02/11/2016;OUI;Homme;17/07/1966;1;58;2016_11;0
ID_156865;1;02/11/2016;OUI;Femme;07/08/1969;1;55;2016_11;0
ID_156867;1;02/11/2016;;Femme;20/05/1955;0;69;2016_11;0
ID_156875;1;02/11/2016;OUI;Femme;29/08/1974;1;50;2016_11;0
ID_156888;1;02/11/2016;OUI;Homme;08/12/1948;1;76;2016_11;1
ID_156905;1;02/11/2016;OUI;Femme;13/07/1972;1;52;2016_11;1
ID_157846;1;02/11/2016;OUI;Femme;05/06/1972;1;52;2016_11;1
ID_157921;1;02/11/2016;OUI;Femme;26/01/1986;1;38;2016_11;0
ID_158124;1;03/11/2016;OUI;Homme;05/02/1959;1;65;2016_11;0
ID_158149;1;03/11/2016;OUI;Femme;08/11/1957;0;67;2016_11;0
ID_158230;1;03/11/2016;OUI;Femme;20/09/1974;0;50;2016_11;0
ID_158268;1;03/11/2016;OUI;Femme;08/06/1966;1;58;2016_11;0
ID_158284;1;03/11/2016;OUI;Femme;15/10/1950;1;74;2016_11;0
ID_158406;1;03/11/2016;OUI;Femme;25/10/1956;1;68;2016_11;1
ID_158411;1;03/11/2016;OUI;Femme;10/09/1951;1;73;2016_11;0
ID_158421;1;03/11/2016;OUI;Femme;30/04/1975;1;49;2016_11;1
ID_158493;1;03/11/2016;OUI;Femme;09/08/1958;1;66;2016_11;0
